"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Project Goal","Start Date","Completion Date","Project Life Cycle Cost","Software Project","New or Existing Metric","If Existing: Metric ID","If Existing: Agency Metric ID","If New: Metric Description","If New: Metric Unit of Measure","If New: Metric Measurement Condition","Metric Target at Deployment","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14016,12461,,"R&D HPCS Recapitalization and enhancement",,2015-10-01,2024-09-30,21,,,,,,,,,0,0,Green,5.819573,44.77,Red,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M16003,15678,,"NGI-Mississippi Collaboration","NOAA is working with the Northern Gulf Institute to acquire High Performance Computing capability. This is a grant.",2017-07-31,2022-09-30,36,no,existing,2143,,,,,"	60.000",0,0,Green,0,0,Green,Completed,09/18/2019,14:36:55
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D11001,985,,"Address Updates",,2011-11-01,2014-05-23,12.824599,,,,,,,,,1,0.11,Green,0.926177,7.92,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D11002,986,,"Feature Updates",,2011-11-01,2013-09-30,14.534012,,,,,,,,,-38,-5.44,Green,-0.41551,-3.03,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D12003,4199,,"Data Quality",,2012-08-01,2013-10-15,8.46883,,,,,,,,,5,1.18,Green,0.082303,0.97,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14004,8703,,"FY14 Partner File Acquisition",,2013-10-01,2014-06-03,0.699,,,,,,,,,4,1.63,Green,0.201486,28.82,Yellow,Completed,09/24/2014,15:32:07
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14005,8705,,"FY14 Feature Updates",,2013-10-01,2014-08-28,6.424,,,,,,,,,-64,-19.34,Yellow,-2.183603,-33.99,Red,Completed,05/29/2015,15:33:56
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14006,8707,,"FY14 Address Updates",,2013-11-25,2014-08-28,7.448,,,,,,,,,-5,-1.86,Green,1.658177,26.63,Yellow,Completed,02/27/2015,10:07:16
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14007,8709,,"FY14 Data Quality",,2014-01-10,2014-09-24,4.146693,,,,,,,,,0,0,Green,1.739043,42.71,Red,Completed,02/27/2015,10:07:16
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15008,8711,,"FY15 Partner File Acquisition",,2014-10-01,2015-09-30,0.79414,,,,,,,,,-1656,-454.95,Red,0.697639,87.85,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15009,8713,,"FY15 Feature Updates",,2014-10-01,2015-09-30,6.424,,,,,,,,,-1656,-454.95,Red,0.014369,3.19,Green,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15011,8717,,"FY15 Data Quality",,2014-10-01,2015-09-28,4.072,,,,,,,,,-1787,-766.95,Red,0.156652,79.84,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15012,9973,,"Geographic Support",,2012-10-04,2014-09-30,7.87226,,,,,,,,,-102,-100.99,Red,0.151018,14.45,Yellow,Completed,09/18/2015,16:14:40
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14013,12463,,"FY15 Boundary and Annexation Survey Production Control System",,2014-08-18,2015-07-29,0.513763,,,,,,,,,28,8.12,Green,0.227239,44.23,Red,Completed,09/18/2015,16:14:40
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16016,13196,,"FY16 GSS-I Update to Puerto Rico",,2015-08-18,2016-07-29,0.51376,,,,,,,,,-9,-7.14,Green,0.078309,61.38,Red,Completed,10/31/2016,20:35:34
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16017,13197,,"FY16 Community TIGER System Development for the CLOUD",,2015-10-01,2016-09-30,0.827,,,,,,,,,-1290,-353.42,Red,-0.372806,-81.61,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16015,13600,,"FY16 Feature Updates",,2015-10-01,2016-09-30,1.82056,,,,,,,,,-1290,-353.42,Red,-0.40492,-22.24,Yellow,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D17018,14628,,"FY17 Conflation",,2016-10-03,2017-09-29,1.59441,,,,,,,,,-926,-256.51,Red,0,0,Green,In-progress,09/01/2018,00:03:29
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D11004,979,,"StEPS II Survey IT Development",,2011-07-01,2014-07-09,13.972011,,,,,,,,,-28,-2.6,Green,-0.35908,-2.57,Green,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007M11001,980,,"Census and Related survey IT support for collection and processing",,2011-07-01,2013-09-30,82.960476,,,,,,,,,0,0,Green,2.303381,2.78,Green,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007M11002,981,,"COGS survey IT support for collection and processing",,2011-07-01,2012-09-30,0.927026,,,,,,,,,0,0,Green,-0.286729,-30.93,Red,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D12005,6547,,"AES Direct - User Interface Redesign",,2012-09-26,2015-04-29,2.76342,,,,,,,,,97,13.22,Yellow,0.08892,5.15,Green,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007P15006,12335,,"2017 Economic Census Planning",,2014-10-01,2015-09-30,0.259532,,,,,,,,,58,15.93,Yellow,0.012301,4.74,Green,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D15008,13162,,"AES Direct Refactoring (Interagency Agreement with Customs and Border Protection)",,2014-10-01,2016-09-30,3.047,,,,,,,,,123,16.85,Yellow,-0.137938,-6.2,Green,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D16007,13163,,"2017 Economic Census IT Support for Collection &amp; Processing",,2015-10-01,2019-09-30,46.800312,,,,,,,,,0,0,Green,30.321616,99.37,Red,Completed,12/27/2017,15:46:01
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D16010,13164,,"2017 Census of Governments Survey IT Support for Collection and Processing","Development and maintenance of data collection and processing systems for 2017 CoG.",2014-10-01,2019-09-30,54.108,yes,existing,1463,,,,,"	100",-195,-13.36,Yellow,2.192026,42.47,Red,In-progress,01/14/2020,19:39:17
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007P15009,13165,,"2017 Census of Governments Planning",,2014-10-01,2015-09-30,0.107464,,,,,,,,,0,0,Green,0.046142,42.94,Red,Completed,12/04/2017,15:26:23
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D17001,15472,,"Economic Census Re-engineering","Re-engineering of the Business Register for the 2022 Economic Census.",2014-10-01,2019-09-30,27.155,yes,existing,1463,,,,,"	100",-195,-17.82,Yellow,2.344774,12.51,Yellow,In-progress,09/18/2019,21:41:40
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D17004,15473,,"Construction Progress Reporting Surveys Systems Re-design (CPRS II) Phase 1",,2016-10-01,2018-09-28,1.608236,,,,,,,,,0,0,Green,-0.32126,-25.02,Yellow,Completed,05/29/2019,17:56:52
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D17003,15943,,"Red Hat Enterprise Linux (RHEL) Migration",,2016-10-01,2017-09-30,3.168726,,,,,,,,,-925,-254.12,Red,2.068724,65.29,Red,In-progress,09/01/2018,00:03:29
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D19001,17073,,"TSAR Re-Design",,2019-05-01,2020-03-04,0.625093,,,,,,,,,0,0,Green,0,0,Green,Completed,02/25/2019,19:31:24
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D19002,17074,,"Data Lake Proof of Concept - TSAR","Proof of Concept for the potential of using the Enterprise Data Lake to develop TSAR into the future state.",2018-10-01,2020-03-13,0.902123,yes,existing,1463,,,,,"	100",-30,-5.67,Green,0.122466,13.58,Yellow,In-progress,11/25/2019,19:01:51
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007D19003,17075,,"CIDR Re-Design","Optimize dissemination of economic indicators.",2019-04-30,2020-02-12,0.88638,yes,existing,1463,,,,,"	100",-60,-41.1,Red,0,0,Green,In-progress,02/25/2020,17:50:02
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007P19004,17261,,"Directory Interactive Problem Solving Environment (D-IPSE)","This project will involve migrating the D-IPSE application to a modern web application architecture.",2019-02-01,2019-11-30,1.586576,yes,existing,1463,,,,,"	100",-134,-44.37,Red,0.077589,4.89,Green,In-progress,01/14/2020,19:39:17
006-000400700,715,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",4007P20003,18257,,"Directory Interactive Problem Solving Environment (D-IPSE) Web","This project is to deliver user acceptance testing modules for Login, Administrator Management, and Survey Unit Display.  This will allow the ECON business analysts to validate the key module of the system.",2020-01-06,2020-03-31,0.828881,yes,existing,1463,,,,,"	100",-12,-14.12,Yellow,0,0,Green,In-progress,03/26/2020,11:38:12
006-000000129,1893,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.",5252D19111,16431,,"FY19 Statistical Production Modernization","Support ongoing modernization of BEA Estimation production components.",2018-10-01,2019-09-30,5.5,yes,existing,27393,,,,,"	90",0,0,Green,0.014,0.26,Green,Completed,10/29/2019,11:51:00
006-000000129,1893,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.",5252D20111,16432,,"FY20 Statistical Production Modernization","Support ongoing modernization of BEA Estimation production components.",2019-10-01,2020-09-30,6.00947,yes,existing,27393,,,,,"	95",-12,-6.59,Green,0,0,Green,In-progress,01/14/2020,21:49:02
006-000000165,1953,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Applications Solution (BAS) V2","	2020001",17318,,"BAS Implementation Planning","Planning for the commencement of the Implementation phase",2019-10-01,2020-04-30,0.26873,no,new,,,"Award of the implementation contract.",Percentage,"Over target",100%,-12,-6.59,Green,0,0,Green,In-progress,12/26/2019,15:20:29
006-000000165,1953,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Applications Solution (BAS) V2","	2020002",17319,,"Implementation Phase 1 - NOAA","Implementation Phase for NOAA Deployment",2020-04-01,2022-09-30,9.2,no,new,,,"Deployment of NOAA onto new systems",Percentage,"Over target",100%,0,0,Green,0,0,Green,In-progress,09/13/2019,20:51:40
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15001,8665,,"Questionnaire Design &amp; Metadata",,2014-10-01,2017-03-31,10.859,,,,,,,,,0,0,Green,0.808364,7.44,Green,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15002,8667,,"Adaptive Survey Design","To provide an enterprise-wide solution that will make dynamic case workload assignments to different contact and data collection modes, enabling Adaptive Survey Design capabilities.
Aims to connect applications, including the Concurrent Analysis and",2014-10-01,2020-09-30,48.965,yes,existing,29174,,,,,"	99.9",-195,-10.68,Yellow,9.906652,22.8,Yellow,In-progress,01/14/2020,19:36:52
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15003,8669,,"Internet &amp; Mobile Data Collection",,2014-10-01,2016-09-30,11.204,,,,,,,,,0,0,Green,0.991976,14.97,Yellow,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15004,8671,,"Scanning Data Capture from Paper","To provide and enterprise wide scanning  paper data capture solution using Optical Mark Recognition, Optical Character Recognition, and Key from Image capabilities.",2014-10-01,2020-09-30,63.753,yes,new,,,"Stakeholder Satisfaction",%,"Over target","	95",-195,-10.68,Yellow,15.307485,36.32,Red,In-progress,11/25/2019,18:57:06
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15005,8673,,"Survey (and Listing) Interview Operational Control",,2014-10-01,2016-09-30,17.679,,,,,,,,,-1290,-176.71,Red,-1.746635,-10.53,Yellow,In-progress,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15006,8675,,"Survey Response Processing","Develop a system to interface and exchange data with the MOCS, as well as perform post-processing activities for response data.",2014-10-01,2020-09-30,48.356,yes,new,,,"Stakeholder Satisfaction",%,"Over target","	95",-195,-10.68,Yellow,13.318676,32.49,Red,In-progress,09/18/2019,22:40:38
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15007,8677,,"Address Listing &amp; Mapping",,2014-10-01,2016-09-30,21.435999,,,,,,,,,0,0,Green,1.862345,8.69,Green,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15008,8679,,"Service-Oriented Architecture",,2014-10-01,2017-06-30,32.40239,,,,,,,,,0,0,Green,-9.316269,-367.68,Red,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15009,8681,,"Centralized Development and Testing Environment",,2014-10-01,2017-06-30,33.09154,,,,,,,,,0,0,Green,-7.015794,-172.12,Red,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15010,8683,,"Electronic Correspondence Portal","To provide an Enterprise Wide Portal for respondents to interface for all services offered by the Census Bureau.",2014-10-01,2018-06-30,28.693,yes,new,,,N/A,N/A,,N/A,0,0,Green,2.216424,15.45,Yellow,Completed,09/18/2019,22:40:38
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D15011,8685,,"Dashboard Monitoring",,2014-10-01,2016-09-30,4.681,,,,,,,,,0,0,Green,0.147333,4.02,Green,Completed,09/18/2018,21:51:43
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D16001,14390,,"Platform Implementation Team","To provide core and key capabilities for the 2020 Census, including the Census Tests leading up to it.  Core capabilities include Centralized Operational Analysis and Control and Survey (and Listing) Interview Operational Control.  Key capabilities i",2016-06-01,2020-09-30,342.324,yes,new,,,"Stakeholder Satisfaction",%,"Over target","	95",-195,-16.44,Yellow,-44.394067,-17.85,Yellow,In-progress,09/18/2019,22:40:38
006-000402100,1357,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",4021D19010,17943,,"Transition to Current Surveys","This project is focused on enterprise support for non-decennial data ingest and data collection operations at the Census Bureau.",2019-10-01,2020-09-30,7.530679,yes,new,,,"System Availability",Percent,"Under target","	99.9",0,0,Green,-0.07316,-0.97,Green,In-progress,03/26/2020,11:38:11
006-000051000,721,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Systems (CBS)",0518O18002,15699,,SmartPay3,"Planning package for the life cycle for modification of CBS to interface with future new purchase card system.",2017-10-02,2019-09-30,1.925,yes,new,,,"FY20 Prompt Payment Performance Goal",Percentage,"Over target","	98",0,0,Green,0.424156,22.03,Yellow,Completed,03/26/2020,12:59:02
006-000051000,721,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Systems (CBS)",0519O19001,17220,,G-Invoicing,"Enhancements to CBS to address government mandate for electronic tracking of government interagency agreements.",2019-02-28,2021-06-30,1.5,no,new,,,"Count of orders tracked in G-Invoicing",Number,"Over target","	1000",0,0,Green,0,0,Green,In-progress,03/26/2020,12:59:02
006-000051000,721,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Systems (CBS)",0520O20001,18258,,"Unique Entity Identifier","Implement use of Unique Entity Identifer in Commerce Business System",2020-02-01,2021-03-31,0.75,yes,existing,21557,,,,,"	100",0,0,Green,0,0,Green,In-progress,03/26/2020,12:59:02
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	100792",15378,,"PE2E Bio-Sequence System Replacement Ph2",,2017-10-26,2019-03-22,5.409859,,,,,,,,,-387,-75.59,Red,0.582852,10.77,Yellow,In-progress,07/25/2019,12:11:13
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	100800",15379,,"Capture Once Ph1 - Study and Prototype",,2017-10-01,2018-12-10,2.508109,,,,,,,,,-489,-112.41,Red,0.688458,27.45,Yellow,In-progress,03/26/2019,20:05:19
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	100806",15380,,"Capture Once Ph2",,2018-09-19,2020-09-30,7.26047,,,,,,,,,0,0,Green,0,0,Green,In-progress,10/30/2018,15:15:36
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101391",15381,,"Decommission OACS",,2020-02-05,2020-09-30,0.08777,,,,,,,,,0,0,Green,0,0,Green,In-progress,09/18/2018,20:19:58
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101434",15382,,"Decommission IFW and MADRAS",,2019-07-10,2020-01-31,0.09253,,,,,,,,,-72,-35.12,Red,0,0,Green,In-progress,09/18/2018,20:19:58
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101760",15383,,"Decommission SCORE, CDS and Insight",,2019-02-20,2020-02-28,0.21671,,,,,,,,,-44,-11.8,Yellow,0,0,Green,In-progress,09/18/2018,20:19:58
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101764",15384,,"Bi-lateral PDoc Exchange",,2019-10-02,2021-01-29,3.25196,,,,,,,,,0,0,Green,0,0,Green,In-progress,09/18/2017,14:59:53
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101767",15385,,"Transmit Enhanced Citation Data",,2019-02-20,2020-02-28,1.96456,,,,,,,,,-44,-11.8,Yellow,0,0,Green,In-progress,09/18/2017,14:59:53
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101769",15386,,"Global Dossier - Examiner and Public Access Ph2",,2018-10-10,2020-01-24,4.3556,,,,,,,,,-79,-16.77,Yellow,0,0,Green,In-progress,09/18/2017,14:59:53
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101770",15387,,"Global Dossier Common Citation and Access Enhancements","Create and further enhance USPTO version of EPO CCD tool to replicate EPO CCD functionality on the read DocDB; Integrate with next generation Examiner and Public tools for use by Examiners and external users.",2018-08-09,2020-01-28,6.48234,,new,,,"Global Dossier Improvements","Operational availability (Percentage of solution i","Under target","	2020",-38,-12.42,Yellow,1.10427,52.15,Red,Completed,03/26/2020,13:10:43
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101994",15392,,"Data for PE2E Ph5",,2017-10-01,2019-01-31,9.991159,,,,,,,,,-26,-5.34,Green,0.946349,9.47,Green,Completed,07/25/2019,12:11:13
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101995",15393,,"Data for PE2E Ph6","Process TIFF to XML conversions (claims, specs, abstracts, information disclosure docs, remarks, & additional types).",2018-08-01,2019-12-20,8.91465,,new,,,"Data Conversions","Number of documents converted","Under target","	2020",0,0,Green,1.46262,16.41,Yellow,Completed,03/26/2020,13:10:43
006-000805000,1866,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent End-to-End 3 (PE2E-3)","	101996",15394,,"Data for PE2E Ph7","Migration of storage Documentum to P-ELP (CMS); QA related code updates, POAM remediation and address Technical Debt",2019-08-07,2021-01-29,6.54597,,new,,,"Data Conversions","Number of documents converted","Under target","	2021",115,21.26,Yellow,4.01653,61.36,Red,In-progress,03/26/2020,13:10:43
